longitude,latitude,species_name,source
34.8844784073,0.2267823728,Vanessula milca,iNaturalist
34.7713327146,0.1733127054,Nepheronia pharis pharis,iNaturalist
34.8454904941,0.2804284633,Charaxes brutus,iNaturalist
34.8317575227,0.2721888917,Eurema floricola,iNaturalist
35.2384619953,0.2271069476,Neptis saclava,iNaturalist
34.8847046,0.2270505,Libythea labdaca,iNaturalist
34.8847046,0.2270505,Rubraea egina,iNaturalist
34.8847046,0.2270505,Phalanta eurytis,iNaturalist
34.8847046,0.2270505,Pieridae,iNaturalist
34.8847046,0.2270505,Junonia sophia,iNaturalist
34.8847046,0.2270505,Junonia gregorii,iNaturalist
34.8846355409,0.2269415611,Junonia,iNaturalist
34.8846355409,0.2269415611,Acraeini,iNaturalist
34.8846355409,0.2269415611,Telchinia perenna,iNaturalist
34.8846355409,0.2269415611,Junonia sophia,iNaturalist
34.8846355409,0.2269415611,Phalanta eurytis,iNaturalist
34.8846355409,0.2269415611,Junonia gregorii,iNaturalist
34.8846355409,0.2269415611,Leptosia,iNaturalist
34.9024666667,0.2220816667,Bebearia,iNaturalist
34.8979133333,0.224645,Telchinia,iNaturalist
34.9006933333,0.2233283333,Euphaedra rex,iNaturalist
34.898375,0.22458,Cymothoe herminia,iNaturalist
34.8979483333,0.2246383333,Telchinia acerata,iNaturalist
34.8977033333,0.22469,Nymphalidae,iNaturalist
34.8995733333,0.2239216667,Nymphalidae,iNaturalist
34.901875,0.2229166667,Euptera elabontas,iNaturalist
34.852971651,0.3422963091,Hypolimnas monteironis major,iNaturalist
34.8569198627,0.3481326899,Aterica galene,iNaturalist
34.8569198627,0.3481326899,Evena,iNaturalist
34.8569198627,0.3481326899,Nymphalidae,iNaturalist
34.8569198627,0.3481326899,Junonia gregorii,iNaturalist
34.8569198627,0.3481326899,Telchinia bonasia,iNaturalist
34.8569198627,0.3481326899,Rubraea egina,iNaturalist
34.8569198627,0.3481326899,Charaxini,iNaturalist
34.8569198627,0.3481326899,Euphaedra,iNaturalist
34.8569198627,0.3481326899,Precis octavia,iNaturalist
