longitude,latitude,species_name,common_name
34.8719917111,0.3196465876,Hypolimnas monteironis major,
34.7444499317,-0.114993817,Charaxes candiope,Green-veined Emperor
34.8618418749,0.3515889671,Charaxes brutus,White-barred Emperor
34.773201815,0.3067277733,Protogoniomorpha parhassus,Common Mother-of-Pearl
34.8844041582,0.227376719,Telchinia cinerea,
34.8842324968,0.227475622,Telchinia,
34.8548725247,0.2953539872,Evena crithea,Common Pathfinder
34.8548725247,0.2953539872,Hypolimnas misippus,Danaid Eggfly
34.8797607422,0.2291792233,Telchinia cinerea,
34.7740793,0.307894,Belenois sudanensis,Sudan caper white
34.7740793,0.307894,Amauris albimaculata,Layman
34.7518631,0.2827307,Protogoniomorpha parhassus,Common Mother-of-Pearl
34.8747200665,0.2780720247,Cymothoe lurida,Lurid Glider
34.884522,0.227082,Telchinia cinerea,
34.8744814646,0.2283955574,Amauris echeria,Chief
35.2245066667,0.1031716667,Eretis,Elfs
35.2243716667,0.1030383333,Junonia sophia,Little Pansy
35.2241116667,0.1026533333,Colias electo,African Clouded Yellow
35.2235333333,0.10294,Telchinia lycoa,Lycoa Acraea
35.2235333333,0.10294,Vanessa dimorphica dimorphica,Short-tailed Admiral
35.2238866667,0.102655,Junonia sophia,Little Pansy
35.2234466667,0.1027483333,Telchinia uvui,Tiny Acraea
35.2237816667,0.102635,Junonia sophia,Little Pansy
35.2237816667,0.102635,Zizula hylax,Tiny Grass Blue
35.2237816667,0.102635,Telchinia uvui,Tiny Acraea
35.2237816667,0.102635,Zenonia zeno,Common Bellboy
34.8921873103,0.2215399504,Protogoniomorpha parhassus,Common Mother-of-Pearl
34.8888178648,0.2228979871,Papilio phorcas,Apple-green Swallowtail
34.8844784073,0.2267823728,Protogoniomorpha parhassus,Common Mother-of-Pearl
34.8844784073,0.2267823728,Euriphene ribensis,
34.8844784073,0.2267823728,Hypolimnas monteironis,Scarce Blue Diadem
34.8844784073,0.2267823728,Papilio dardanus,Mocker Swallowtail
34.8844784073,0.2267823728,Hypolimnas monteironis,Scarce Blue Diadem
34.8844784073,0.2267823728,Vanessula milca,Lady's Maid Butterfly
34.7713327146,0.1733127054,Nepheronia pharis pharis,
34.8454904941,0.2804284633,Charaxes brutus,White-barred Emperor
34.8317575227,0.2721888917,Eurema floricola,Malagasy Grass Yellow
35.2384619953,0.2271069476,Neptis saclava,Spotted Sailer
34.8847046,0.2270505,Libythea labdaca,Northern African Snout
34.8847046,0.2270505,Rubraea egina,Elegant Acraea
34.8847046,0.2270505,Phalanta eurytis,Forest Leopard
34.8847046,0.2270505,Pieridae,"Whites, Yellows, and Sulphurs"
34.8847046,0.2270505,Junonia sophia,Little Pansy
34.8847046,0.2270505,Junonia gregorii,Gregori’s Brown Pansy
34.8847046,0.2270505,Junonia sophia,Little Pansy
34.8846355409,0.2269415611,Junonia,Buckeyes & Pansies
34.8846355409,0.2269415611,Acraeini,"Acraeas, Actinotes, and Allies"
34.8846355409,0.2269415611,Telchinia perenna,Falcate Acraea
34.8846355409,0.2269415611,Acraeini,"Acraeas, Actinotes, and Allies"
34.8846355409,0.2269415611,Junonia sophia,Little Pansy
34.8846355409,0.2269415611,Phalanta eurytis,Forest Leopard
